"original_url","rewritten_url"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608825362697-EQM1GPE0Q4R1GWGLSDSU/Screen+Shot+2020-12-24+at+10.52.54+AM.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608825362697-EQM1GPE0Q4R1GWGLSDSU/Screen+Shot+2020-12-24+at+10.52.54+AM.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608825482474-BYFFTTXHFSL178UDU1NJ/10.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608825482474-BYFFTTXHFSL178UDU1NJ/10.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608755756190-848TJEHEFNKU5MIZS2S3/1.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608755756190-848TJEHEFNKU5MIZS2S3/1.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608755932536-MPS30MFQUNY4JQQSWUYM/2.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608755932536-MPS30MFQUNY4JQQSWUYM/2.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608755964854-9OMB5YNZA49DVEVRYG9C/3.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608755964854-9OMB5YNZA49DVEVRYG9C/3.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608756048443-RX2M6VZTQ1ARRMN40DLS/4.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608756048443-RX2M6VZTQ1ARRMN40DLS/4.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608756085711-89QP8K919GXL2YNNWKAL/5.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608756085711-89QP8K919GXL2YNNWKAL/5.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1608756096637-HOZWD3CMOGCMO9GDIJOK/6.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1608756096637-HOZWD3CMOGCMO9GDIJOK/6.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581033581292-R1I0LLHLBIC8CQAVUTEB/2019-07-26-08_52_30-interactive-logon-microsoft-azure.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581033581292-R1I0LLHLBIC8CQAVUTEB/2019-07-26-08_52_30-interactive-logon-microsoft-azure.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581033680907-H7400YVE2LOKJWB760RB/2019-07-26-08_56_00-policy-csp-experience-_-microsoft-docs-and-11-more-pages-microsoft-edge.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581033680907-H7400YVE2LOKJWB760RB/2019-07-26-08_56_00-policy-csp-experience-_-microsoft-docs-and-11-more-pages-microsoft-edge.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581033821022-4PICDANOTG77HV7BP6FN/2019-07-26-09_01_00-add-row-microsoft-azure.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581033821022-4PICDANOTG77HV7BP6FN/2019-07-26-09_01_00-add-row-microsoft-azure.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581034178585-OV9G9OHFC8GYZC2X3S71/2019-07-26-09_03_04-z0t-onedrive-policy-settings-microsoft-azure.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581034178585-OV9G9OHFC8GYZC2X3S71/2019-07-26-09_03_04-z0t-onedrive-policy-settings-microsoft-azure.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581034258556-NVOXBLGHZ3CWG9KEPCY3/2019-07-26-09_04_14-silently-sign-in-users-to-the-onedrive-sync-client-with-their-windows-credential.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581034258556-NVOXBLGHZ3CWG9KEPCY3/2019-07-26-09_04_14-silently-sign-in-users-to-the-onedrive-sync-client-with-their-windows-credential.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581104762006-HP2RM40QVEYN2LPC7S0Y/71WPXY5GhgL._AC_SX466_.jpg","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581104762006-HP2RM40QVEYN2LPC7S0Y/71WPXY5GhgL._AC_SX466_.jpg"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581104787505-RMK8DUBPRH6CCR1FAPOL/2020-02-07+14_44_30-Blog+Feed+%E2%80%93+Inconvenient+Integration.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581104787505-RMK8DUBPRH6CCR1FAPOL/2020-02-07+14_44_30-Blog+Feed+%E2%80%93+Inconvenient+Integration.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1581104930793-DEU4ZIJ0R7G2VEEYMLGI/2019-12-23-10_59_24-rdg.batcave.local-remote-desktop-connection-manager-v2.7.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1581104930793-DEU4ZIJ0R7G2VEEYMLGI/2019-12-23-10_59_24-rdg.batcave.local-remote-desktop-connection-manager-v2.7.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/e6b7c77e-8ace-4173-b106-71da2ef262e4/Screenshot+2023-08-02+at+2.11.17+PM.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/e6b7c77e-8ace-4173-b106-71da2ef262e4/Screenshot+2023-08-02+at+2.11.17+PM.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1b2dfa71-3a4d-477d-a5e3-7bee31128881/1.jpg","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1b2dfa71-3a4d-477d-a5e3-7bee31128881/1.jpg"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656602039-V3H0SEJZZ8J74R7TDBUN/1.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656602039-V3H0SEJZZ8J74R7TDBUN/1.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656602039-V3H0SEJZZ8J74R7TDBUN/1.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656602039-V3H0SEJZZ8J74R7TDBUN/1.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656602041-20JDD4VMREJW22A3BGC4/2.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656602041-20JDD4VMREJW22A3BGC4/2.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656602041-20JDD4VMREJW22A3BGC4/2.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656602041-20JDD4VMREJW22A3BGC4/2.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656673187-06XMTCDUGNB8123DOKAG/3.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656673187-06XMTCDUGNB8123DOKAG/3.png"
"https://images.squarespace-cdn.com/content/v1/5dd365a31aa1fd743bc30b8e/1709656673187-06XMTCDUGNB8123DOKAG/3.png","https://getrubixsitecms.blob.core.windows.net/public-assets/content/v1/5dd365a31aa1fd743bc30b8e/1709656673187-06XMTCDUGNB8123DOKAG/3.png"
